start,end,type,city,activity
Gordes,Provence manzaraları ve şato ziyareti,HAS_ACTIVITY,,
Gordes,Roussillon Gezisi,HAS_ACTIVITY,,
Gordes,Roussillon ve Gordes gezisi,HAS_ACTIVITY,,
Gordes,Saint-Rémy-de-Provence Gezisi,HAS_ACTIVITY,,
Gordes,Sanat atölyeleri ve butik mağazalar,HAS_ACTIVITY,,
Gordes,Tadao Ando Café Restaurant,HAS_RESTAURANT,,
Granada,Alcazaba,HAS_ACTIVITY,,
Granada,Alcazar Kalesi - Córdoba,HAS_ACTIVITY,,
Granada,Alcázar - Sevilla,HAS_ACTIVITY,,
Granada,Altın Kule (Torre del Oro),HAS_ACTIVITY,,
Granada,Capilla Real,HAS_ACTIVITY,,
Granada,Carmen de los Mártires Bahçesi,HAS_ACTIVITY,,
Granada,Casa del Rey Moro,HAS_ACTIVITY,,
Granada,Comendadoras de Santiago,HAS_ACTIVITY,,
Granada,Cordoba turu,HAS_ACTIVITY,,
Granada,Dominicans of Santo Domingo,HAS_ACTIVITY,,
Granada,El Alamillo Köprüsü,HAS_ACTIVITY,,
Granada,El Tajo Kanyonu,HAS_ACTIVITY,,
Granada,Elhamra Sarayı,HAS_ACTIVITY,,
Granada,Elhamra Sarayı gezisi,HAS_ACTIVITY,,
Granada,Fundación Rodriguez-Acosta Sanat Müzesi,HAS_ACTIVITY,,
Granada,Generalife Bahçeleri,HAS_ACTIVITY,,
Granada,Giralda Kulesi,HAS_ACTIVITY,,
Granada,"Granada şehir merkezi turu (Realejo Mahallesi, Capilla Real, Katedral, Madraza)",HAS_ACTIVITY,,
Granada,Las Granadas Kapısı,HAS_ACTIVITY,,
Granada,Maria Luisa Parkı,HAS_ACTIVITY,,
Granada,Mezquita Camii - Córdoba,HAS_ACTIVITY,,
Granada,Musevi Mahallesi - Córdoba,HAS_ACTIVITY,,
Granada,Nasrid Sarayı,HAS_ACTIVITY,,
Granada,Partal,HAS_ACTIVITY,,
Granada,Plaza Corredera - Córdoba,HAS_ACTIVITY,,
Granada,Plaza de Toros - Ronda,HAS_ACTIVITY,,
Granada,Puente Nuevo - Ronda,HAS_ACTIVITY,,
Granada,Realejo Mahallesi,HAS_ACTIVITY,,
Granada,Ronda Tarihi Sokakları,HAS_ACTIVITY,,
Granada,Ronda gezisi,HAS_ACTIVITY,,
Granada,Sevilla Katedrali,HAS_ACTIVITY,,
Granada,Sevilla şehir turu,HAS_ACTIVITY,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,2025-12-07,HAS_DATE_START,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,2025-12-16,HAS_DATE_END,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Cape Town,HAS_CITY,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Franschhoek,HAS_CITY,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Güney Afrika,HAS_COUNTRY,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kimberley,HAS_CITY,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Kış,HAS_SEASON,,
GÜNEY AFRİKA TURU 07 – 16 ARALIK,Stellenbosch,HAS_CITY,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,2026-01-03,HAS_DATE_END,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,2026-01-25,HAS_DATE_START,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Cape Town,HAS_CITY,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Franschhoek,HAS_CITY,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Güney Afrika,HAS_COUNTRY,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Kış,HAS_SEASON,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Livingstone,HAS_CITY,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Serengeti,HAS_CITY,,
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Zambiya,HAS_COUNTRY,,
Güney Afrika 14-21 Kasım 2018,2018-11-14,HAS_DATE_START,,
Güney Afrika 14-21 Kasım 2018,2018-11-21,HAS_DATE_END,,
Güney Afrika 14-21 Kasım 2018,Cape Town,HAS_CITY,,
Güney Afrika 14-21 Kasım 2018,Cape Town,HAS_HIGHLIGHT,,
Güney Afrika 14-21 Kasım 2018,Güney Afrika,HAS_COUNTRY,,
Güney Afrika 14-21 Kasım 2018,Güney Afrika,HAS_HIGHLIGHT,,
Güney Afrika 14-21 Kasım 2018,Güney Afrika içi transferler,HAS_TRANSPORT,,
Güney Afrika 14-21 Kasım 2018,Johannesburg,HAS_CITY,,
Güney Afrika 14-21 Kasım 2018,Johannesburg,HAS_HIGHLIGHT,,
Güney Afrika 14-21 Kasım 2018,Safari,HAS_HIGHLIGHT,,
Güney Afrika 14-21 Kasım 2018,Sonbahar,HAS_SEASON,,
Güney Afrika 14-21 Kasım 2018,Soweto,HAS_CITY,,
Güney Afrika 14-21 Kasım 2018,Stellenbosch,HAS_CITY,,
Güney Afrika 14-21 Kasım 2018,İstanbul – Johannesburg uçuşu (TK42),HAS_TRANSPORT,,
Güney Afrika 22-30 Ocak,2025-01-22,HAS_DATE_START,,
Güney Afrika 22-30 Ocak,2025-01-30,HAS_DATE_END,,
Güney Afrika 22-30 Ocak,Cape Town,HAS_CITY,,
Güney Afrika 22-30 Ocak,Cape Town,HAS_HIGHLIGHT,,
Güney Afrika 22-30 Ocak,Güney Afrika,HAS_COUNTRY,,
Güney Afrika 22-30 Ocak,Güney Afrika,HAS_HIGHLIGHT,,
Güney Afrika 22-30 Ocak,Güney Afrika içi araç kiralama ve transferler,HAS_TRANSPORT,,
Güney Afrika 22-30 Ocak,Johannesburg,HAS_CITY,,
Güney Afrika 22-30 Ocak,Kış,HAS_SEASON,,
Güney Afrika 22-30 Ocak,Marataba,HAS_CITY,,
Güney Afrika 22-30 Ocak,Safari,HAS_HIGHLIGHT,,
Güney Afrika 22-30 Ocak,Stellenbosch,HAS_CITY,,
Güney Afrika 22-30 Ocak,Stellenbosch,HAS_HIGHLIGHT,,
Güney Afrika 22-30 Ocak,İstanbul – Cape Town uçuşu (TK44),HAS_TRANSPORT,,
Güney Afrika Gezisi - Tanju Kaya,Cape Town,HAS_CITY,,
Güney Afrika Gezisi - Tanju Kaya,Cape Town,HAS_HIGHLIGHT,,
Güney Afrika Gezisi - Tanju Kaya,Güney Afrika,HAS_COUNTRY,,
Güney Afrika Gezisi - Tanju Kaya,Güney Afrika,HAS_HIGHLIGHT,,
Güney Afrika Gezisi - Tanju Kaya,Johannesburg,HAS_CITY,,
Güney Afrika Gezisi - Tanju Kaya,Johannesburg,HAS_HIGHLIGHT,,
Güney Afrika Gezisi - Tanju Kaya,Johannesburg – Sabi Sabi özel uçuşu (Federal Havayolları),HAS_TRANSPORT,,
Güney Afrika Gezisi - Tanju Kaya,Kruger,HAS_CITY,,
Güney Afrika Gezisi - Tanju Kaya,"Kruger Mpumalanga – Cape Town uçuşu (SA8664, South African Airways)",HAS_TRANSPORT,,
Güney Afrika Gezisi - Tanju Kaya,Sabi Sabi,HAS_HIGHLIGHT,,
Güney Afrika Gezisi - Tanju Kaya,Sabi Sand,HAS_CITY,,
Güney Afrika Gezisi - Tanju Kaya,Safari,HAS_HIGHLIGHT,,
Güney Afrika Gezisi - Tanju Kaya,V&A Waterfront,HAS_HIGHLIGHT,,
Güney Afrika Gezisi - Tanju Kaya,"İstanbul – Johannesburg uçuşu (TK38, Türk Hava Yolları)",HAS_TRANSPORT,,
Güney Afrika Gezisi - Tanju Kaya,Şehir içi ve lodge transferleri,HAS_TRANSPORT,,
Ha Long,Ha Long Körfezi’nde deniz uçağı ile ulaşım ve Violet Cruise konaklaması,HAS_ACTIVITY,,
Ha Long,"Ha Long Körfezi’nde mağara keşfi, yüzme ve balık avı",HAS_ACTIVITY,,
Ha Long,Ha Long Violet Cruise – deniz ürünleri ve geleneksel Vietnam mutfağı,HAS_RESTAURANT,,
Ha Long,"Hanoi şehir turu: Ho Chi Minh Mozolesi, Başkanlık Sarayı, Tek Sütunlu Pagoda, Edebiyat Tapınağı",HAS_ACTIVITY,,
Ha Long,Hanoi’de pedallı taksi (rikşov) gezisi,HAS_ACTIVITY,,
Ha Long,"Ho Chi Minh şehir turu: China Town, Thien Hau Tapınağı, Notre Dame Katedrali, Posta Merkezi, Belediye Tiyatrosu",HAS_ACTIVITY,,
Ha Long,"Mekong Deltası gezisi: bot turları, noodle yapımı, meyve bahçeleri, yerel aile ziyareti",HAS_ACTIVITY,,
Ha Long,Mekong Deltası – nehir kenarında restoran,HAS_RESTAURANT,,
Ha Long,"Otel (Ho Chi Minh, ismi belirtilmemiş)",HAS_HOTEL,,
Ha Long,"Otel (Siem Reap, ismi belirtilmemiş)",HAS_HOTEL,,
Ha Long,"Phnom Penh şehir turu: Artisan D’Angkor el işi okulu, Phsar Chas çarşısı",HAS_ACTIVITY,,
Ha Long,"Siem Reap (Angkor) gezisi: Angkor Thom, Bayon Tapınağı, Baphuon, Kraliyet Sarayı, Fil Terası",HAS_ACTIVITY,,
Ha Long,Sofitel Legend Metropole (Hanoi),HAS_HOTEL,,
Ha Long,Violet Cruise (Ha Long Körfezi),HAS_HOTEL,,
Ha Long,Yerel aile evi – çay ve taze meyve ikramı,HAS_RESTAURANT,,
Ha Long,"Yerel restoranlarda öğle yemekleri (Hanoi, Ho Chi Minh turları sırasında)",HAS_RESTAURANT,,
Ha Long (Lan Ha Bay),Bangkok şehir turu ve alışveriş aktiviteleri,HAS_ACTIVITY,,
Ha Long (Lan Ha Bay),Bhaya Cruise (Lan Ha Bay / Ha Long),HAS_HOTEL,,
Ha Long (Lan Ha Bay),Ha Long (Lan Ha Bay) Bhaya özel tekne yolculuğu,HAS_ACTIVITY,,
Ha Long (Lan Ha Bay),"Hanoi şehir turu: Opera Binası, Edebiyat Tapınağı, Etnoloji Müzesi, Eski Mahalle",HAS_ACTIVITY,,
Ha Long (Lan Ha Bay),May de Cuisine Restaurant (Hanoi),HAS_RESTAURANT,,
Ha Long (Lan Ha Bay),Saigon şehir turu,HAS_ACTIVITY,,
Ha Long (Lan Ha Bay),Thien Canh Son Cave ziyareti,HAS_ACTIVITY,,
Ha Long (Lan Ha Bay),Westlake bölgesi turu (vintage jeep ile),HAS_ACTIVITY,,
Hahndorf,Alman Kasabası Hahndorf,HAS_ACTIVITY,,
Hahndorf,Anayasa Limanı - Hobart,HAS_ACTIVITY,,
Hahndorf,Anzac-Atatürk Anıtı,HAS_ACTIVITY,,
Hahndorf,Ateş Böceği Mağarası,HAS_ACTIVITY,,
Hahndorf,Barossa Valley Şarap Bağları,HAS_ACTIVITY,,
Hahndorf,Brisbane Şehir Turu,HAS_ACTIVITY,,
Hahndorf,Canberra Şehir Turu,HAS_ACTIVITY,,
Hahndorf,Darling Harbour,HAS_ACTIVITY,,
Hahndorf,Fitzroy Gardens & Captain Cook’un Evi,HAS_ACTIVITY,,
Hahndorf,Franklin Meydanı - Hobart,HAS_ACTIVITY,,
Hahndorf,Hyde Park Barracks - Sydney,HAS_ACTIVITY,,
Hahndorf,Melbourne Müzesi,HAS_ACTIVITY,,
Hahndorf,Mount Wellington,HAS_ACTIVITY,,
Hahndorf,Mrs Macquarie’s Chair,HAS_ACTIVITY,,
Hahndorf,Nehir Kenarı Restoran - Adelaide,HAS_RESTAURANT,,
Hahndorf,Parlamento ve Hazine Binası - Melbourne,HAS_ACTIVITY,,
Hahndorf,Royal Exhibition Binası - Melbourne,HAS_ACTIVITY,,
Hahndorf,Sanat Galerisi - Melbourne,HAS_ACTIVITY,,
Hahndorf,Sullivan’s Cove,HAS_ACTIVITY,,
Hahndorf,Surfers Paradise - Gold Coast,HAS_ACTIVITY,,
Hahndorf,Sydney Harbour Bridge,HAS_ACTIVITY,,
Hahndorf,Sydney Opera House,HAS_ACTIVITY,,
Hahndorf,"The Tasman, a Luxury Collection Hotel, Hobart",HAS_HOTEL,,
Hahndorf,Ulusal Müze - Sydney,HAS_ACTIVITY,,
Hahndorf,Yerel Lüks Restoran - Adelaide,HAS_RESTAURANT,,
Hakone,Arashiyama bölgesi ziyareti,HAS_ACTIVITY,,
Hakone,Ashinoko Gölü tekne turu,HAS_ACTIVITY,,
Hakone,Ashinoko Tekne Gezisi,HAS_ACTIVITY,,
Hakone,Benesse House,HAS_ACTIVITY,,
Hakone,Benesse House,HAS_HOTEL,,
Hakone,Chichu Sanat Müzesi,HAS_ACTIVITY,,
Hakone,Garrya Nijo Castle Kyoto,HAS_HOTEL,,
Hakone,Geisha & Maiko Gösterisi,HAS_ACTIVITY,,
Hakone,Ginza,HAS_ACTIVITY,,
Hakone,Hakone Açık Hava Müzesi,HAS_ACTIVITY,,
Hakone,Hakone Açık Hava Müzesi ziyareti,HAS_ACTIVITY,,
Hakone,Hakone Teleferiği,HAS_ACTIVITY,,
Hakone,Hotel Tokyo Deluxe Double,HAS_HOTEL,,
Hakone,Kasuga Taisha,HAS_ACTIVITY,,
Hakone,Kinkaku-ji,HAS_ACTIVITY,,
Hakone,Kiyomizu Tapınağı,HAS_ACTIVITY,,
Hakone,Lee Ufan Müzesi,HAS_ACTIVITY,,
Hakone,Meiji Shrine,HAS_ACTIVITY,,
Hakone,Mitsui Garden Hotel,HAS_HOTEL,,
Hakone,Monkey Park Iwatayama,HAS_ACTIVITY,,
Hakone,Mori Sanat Müzesi ve Sky Deck ziyareti,HAS_ACTIVITY,,
Hakone,Nakamise Alışveriş Caddesi,HAS_ACTIVITY,,
Hakone,Nara Park,HAS_ACTIVITY,,
Hakone,Omotesando,HAS_ACTIVITY,,
Hakone,Osaka Kalesi ziyareti,HAS_ACTIVITY,,
Hakone,Owakudani Vadisi,HAS_ACTIVITY,,
Hakone,Picasso Pavilion,HAS_ACTIVITY,,
Hakone,Picasso Pavilion sergisi,HAS_ACTIVITY,,
Hakone,Senso-ji Tapınağı,HAS_ACTIVITY,,
Hakone,Shinjuku Gyoen Park,HAS_ACTIVITY,,
Hakone,Sorakuen Bahçesi ve Kobe eski yerleşim yeri gezisi,HAS_ACTIVITY,,
Hakone,Takeshita Street,HAS_ACTIVITY,,
Hakone,TeamLab Borderless ziyareti,HAS_ACTIVITY,,
Hakone,TeamLab Planets,HAS_ACTIVITY,,
Hakone,Tenryu-ji Tapınağı,HAS_ACTIVITY,,
Hakone,Teshima Sanat Müzesi,HAS_ACTIVITY,,
Hakone,Teshima Yokoo Evi,HAS_ACTIVITY,,
Hakone,Todai-ji Tapınağı ziyareti,HAS_ACTIVITY,,
Hakone,Tokyo şehir turu,HAS_ACTIVITY,,
Hallstatt,Adolf Hitler’in Kartal Yuvası,HAS_ACTIVITY,,
Hallstatt,Atlı Kızak Turu (St Wolfgang),HAS_ACTIVITY,,
Hallstatt,Cafe Sacher Salzburg,HAS_RESTAURANT,,
Hallstatt,Grassl Likör Fabrikası,HAS_ACTIVITY,,
Hallstatt,Hallstatt Gezisi,HAS_ACTIVITY,,
Hallstatt,Hotel Bristol,HAS_HOTEL,,
Hallstatt,Hotel Goldener Hirsch,HAS_HOTEL,,
Hallstatt,Mirabel Sarayı ve Bahçesi,HAS_ACTIVITY,,
Hallstatt,Mozart’ın Evi,HAS_ACTIVITY,,
Hallstatt,Noel Pazarları,HAS_ACTIVITY,,
Hallstatt,Radisson Blu Hotel Altstadt,HAS_HOTEL,,
Hallstatt,Residenzplatz & DomQuartier,HAS_ACTIVITY,,
Hallstatt,Restaurant Blaue Gans Salzburg Gasthaus,HAS_RESTAURANT,,
Hallstatt,Salzberg Dağı & Tuz Madeni Ziyareti,HAS_ACTIVITY,,
Hallstatt,Salzbergwerk Berchtesgaden,HAS_ACTIVITY,,
Hallstatt,Salzburg Kalesi,HAS_ACTIVITY,,
Halong,Banteay Srei ve Banteay Samre tapınakları ziyareti,HAS_ACTIVITY,,
Halong,Ben Thanh Market ziyareti,HAS_ACTIVITY,,
Halong,Cu Chi Tünelleri gezisi,HAS_ACTIVITY,,
Halong,Halong Bay tekne turu,HAS_ACTIVITY,,
Halong,Hanoi şehir turu,HAS_ACTIVITY,,
Halong,Ho Chi Minh City şehir turu,HAS_ACTIVITY,,
Halong,Hoi An yürüyüş turu,HAS_ACTIVITY,,
Halong,Intercontinental Danang,HAS_HOTEL,,
Halong,Ngoc Son Pagoda ziyareti,HAS_ACTIVITY,,
Halong,Paradise Luxury Halong,HAS_HOTEL,,
Halong,Park Hyatt Saigon,HAS_HOTEL,,
Halong,Siem Reap Angkor Wat ziyareti,HAS_ACTIVITY,,
Halong,Sofitel Legend Metropole Hanoi,HAS_HOTEL,,
Halong,Ta Prohm Tapınağı ziyareti,HAS_ACTIVITY,,
Halong,Temple of Literature ziyareti,HAS_ACTIVITY,,
Halong,Tonle Sap Gölü yüzen köy ziyareti,HAS_ACTIVITY,,
Halong,War Remnants Museum ziyareti,HAS_ACTIVITY,,
Halong,Water Puppet gösterisi,HAS_ACTIVITY,,
Hanoi,"Anantara Golden Triangle, Chiang Rai",HAS_HOTEL,,
Hanoi,Bangkok kanal turu (Thonburi Klongs) ve Chao Phraya Nehri gezisi,HAS_ACTIVITY,,
Hanoi,Bangkok şehir turu ve alışveriş aktiviteleri,HAS_ACTIVITY,,
Hanoi,"Bangkok şehir turu: Wat Arun, Wat Pho, Çin Mahallesi",HAS_ACTIVITY,,
Hanoi,Banteay Srei ve Banteay Samre tapınakları ziyareti,HAS_ACTIVITY,,
Hanoi,Ben Thanh Market ziyareti,HAS_ACTIVITY,,
Hanoi,Bhaya Cruise (Lan Ha Bay / Ha Long),HAS_HOTEL,,
Hanoi,"Chiang Rai’de fil sürüşü, Altın Üçgen gezisi veya yemek kursu",HAS_ACTIVITY,,
Hanoi,Cu Chi Tünelleri gezisi,HAS_ACTIVITY,,
Hanoi,Ha Long (Lan Ha Bay) Bhaya özel tekne yolculuğu,HAS_ACTIVITY,,
Hanoi,Ha Long Körfezi’nde deniz uçağı ile ulaşım ve Violet Cruise konaklaması,HAS_ACTIVITY,,
Hanoi,"Ha Long Körfezi’nde mağara keşfi, yüzme ve balık avı",HAS_ACTIVITY,,
Hanoi,Ha Long Violet Cruise – deniz ürünleri ve geleneksel Vietnam mutfağı,HAS_RESTAURANT,,
Hanoi,Halong Bay tekne turu,HAS_ACTIVITY,,
Hanoi,Hanoi By Night turu,HAS_ACTIVITY,,
Hanoi,Hanoi şehir turu,HAS_ACTIVITY,,
Hanoi,"Hanoi şehir turu: Ho Chi Minh Mozolesi, Başkanlık Sarayı, Tek Sütunlu Pagoda, Edebiyat Tapınağı",HAS_ACTIVITY,,
Hanoi,"Hanoi şehir turu: Ho Chi Minh Mozolesi, kazık ev, Tek Sütunlu Pagoda, Edebiyat Tapınağı",HAS_ACTIVITY,,
Hanoi,"Hanoi şehir turu: Opera Binası, Edebiyat Tapınağı, Etnoloji Müzesi, Eski Mahalle",HAS_ACTIVITY,,
Hanoi,Hanoi’de pedallı taksi (rikşov) gezisi,HAS_ACTIVITY,,
Hanoi,Ho Chi Minh City şehir turu,HAS_ACTIVITY,,
Hanoi,"Ho Chi Minh şehir turu: China Town, Thien Hau Tapınağı, Notre Dame Katedrali, Posta Merkezi, Belediye Tiyatrosu",HAS_ACTIVITY,,
Hanoi,Hoi An yürüyüş turu,HAS_ACTIVITY,,
Hanoi,Intercontinental Danang,HAS_HOTEL,,
Hanoi,"Mandarin Oriental, Bangkok",HAS_HOTEL,,
Hanoi,May de Cuisine Restaurant (Hanoi),HAS_RESTAURANT,,
Hanoi,"Mekong Deltası gezisi: bot turları, noodle yapımı, meyve bahçeleri, yerel aile ziyareti",HAS_ACTIVITY,,
Hanoi,Mekong Deltası – nehir kenarında restoran,HAS_RESTAURANT,,
Hanoi,Ngoc Son Pagoda ziyareti,HAS_ACTIVITY,,
Hanoi,Nha Trang sahil tatili ve dinlenme,HAS_ACTIVITY,,
Hanoi,"Otel (Ho Chi Minh, ismi belirtilmemiş)",HAS_HOTEL,,
Hanoi,"Otel (Siem Reap, ismi belirtilmemiş)",HAS_HOTEL,,
Hanoi,Paradise Luxury Halong,HAS_HOTEL,,
Hanoi,Park Hyatt Saigon,HAS_HOTEL,,
Hanoi,"Phnom Penh şehir turu: Artisan D’Angkor el işi okulu, Phsar Chas çarşısı",HAS_ACTIVITY,,
Hanoi,Saigon şehir turu,HAS_ACTIVITY,,
Hanoi,"Siem Reap (Angkor) gezisi: Angkor Thom, Bayon Tapınağı, Baphuon, Kraliyet Sarayı, Fil Terası",HAS_ACTIVITY,,
Hanoi,Siem Reap Angkor Wat ziyareti,HAS_ACTIVITY,,
Hanoi,Sofitel Legend Metropole (Hanoi),HAS_HOTEL,,
Hanoi,Sofitel Legend Metropole Hanoi,HAS_HOTEL,,
Hanoi,Ta Prohm Tapınağı ziyareti,HAS_ACTIVITY,,
Hanoi,Temple of Literature ziyareti,HAS_ACTIVITY,,
Hanoi,The Market Restaurant (Vietnam),HAS_RESTAURANT,,
Hanoi,The Market Restaurant’ta Vietnam yemek kursu,HAS_ACTIVITY,,
Hanoi,Thien Canh Son Cave ziyareti,HAS_ACTIVITY,,
Hanoi,Tonle Sap Gölü yüzen köy ziyareti,HAS_ACTIVITY,,
Hanoi,Tra Que Organic Village bisiklet turu,HAS_ACTIVITY,,
Hanoi,Violet Cruise (Ha Long Körfezi),HAS_HOTEL,,
Hanoi,War Remnants Museum ziyareti,HAS_ACTIVITY,,
Hanoi,Water Puppet gösterisi,HAS_ACTIVITY,,
Hanoi,Westlake bölgesi turu (vintage jeep ile),HAS_ACTIVITY,,
Hanoi,Yerel aile evi – çay ve taze meyve ikramı,HAS_RESTAURANT,,
Hanoi,"Yerel restoranlarda öğle yemekleri (Hanoi, Ho Chi Minh turları sırasında)",HAS_RESTAURANT,,
Harads,Gece Safarisi,HAS_ACTIVITY,,
Harads,ICEHOTEL,HAS_HOTEL,,
Harads,Kaamos Hotel,HAS_HOTEL,,
Harads,Kar Mobili Safarisi,HAS_ACTIVITY,,
Harads,Treehotel,HAS_HOTEL,,
Havana,1950’lerden kalma Amerikan arabaları ile Havana turu,HAS_ACTIVITY,,
Havana,Che Guevara’nın evi ziyareti,HAS_ACTIVITY,,
Havana,"Cienfuegos şehir turu (Valle Sarayı, Jose Marti Parkı, Prado Promenade)",HAS_ACTIVITY,,
Havana,Devrim Müzesi ziyareti,HAS_ACTIVITY,,
Havana,Floridita,HAS_RESTAURANT,,
Havana,Floridita’da öğle yemeği ve daiquiri kokteyl tadımı,HAS_ACTIVITY,,
Havana,Hamel Sokağı ziyareti,HAS_ACTIVITY,,
Havana,"Havana Eski Kenti, Malecon Bulvarı, Devrim Meydanı, Colomb Mezarlığı ve Morro Kalesi gezisi",HAS_ACTIVITY,,
Havana,Havana şehir turu,HAS_ACTIVITY,,
Havana,"Havana şehir turu (Eski Kent, Malecon, Devrim Meydanı, Colomb Mezarlığı, Miramar)",HAS_ACTIVITY,,
Havana,Hemingway’in La Finca evi ziyareti,HAS_ACTIVITY,,
Havana,Hotel Manzana Kempinski,HAS_HOTEL,,
Havana,Jose Fuster’in sanat mahallesi ziyareti,HAS_ACTIVITY,,
Havana,Küba sokaklarında klasik Amerikan arabalarıyla gezi,HAS_ACTIVITY,,
Havana,La Canchanchara,HAS_RESTAURANT,,
Havana,Prado Caddesi ziyareti,HAS_ACTIVITY,,
Havana,Rancho San Vicente,HAS_RESTAURANT,,
Havana,Rancho San Vicente restoranda öğle yemeği,HAS_ACTIVITY,,
Havana,Santa Clara gezisi ve Che Guevara Anıt Mezarı ziyareti,HAS_ACTIVITY,,
Havana,Trinidad gezisi ve La Canchanchara Bar ziyareti,HAS_ACTIVITY,,
Havana,Vinales tütün tarlaları ve çiftlik ziyareti,HAS_ACTIVITY,,
Havana,"Vinales şehir merkezi, tütün tarlaları ve çiftlik ziyareti",HAS_ACTIVITY,,
Havana - Cancun 8-19 Temmuz 2022,2022-07-08,HAS_DATE_START,,
Havana - Cancun 8-19 Temmuz 2022,2022-07-19,HAS_DATE_END,,
Havana - Cancun 8-19 Temmuz 2022,Cancun,HAS_CITY,,
Havana - Cancun 8-19 Temmuz 2022,Cancun,HAS_HIGHLIGHT,,
Havana - Cancun 8-19 Temmuz 2022,Havana,HAS_CITY,,
Havana - Cancun 8-19 Temmuz 2022,Havana,HAS_HIGHLIGHT,,
Havana - Cancun 8-19 Temmuz 2022,Küba,HAS_COUNTRY,,
Havana - Cancun 8-19 Temmuz 2022,Küba,HAS_HIGHLIGHT,,
Havana - Cancun 8-19 Temmuz 2022,Küba içi transferler,HAS_TRANSPORT,,
Havana - Cancun 8-19 Temmuz 2022,Meksika,HAS_COUNTRY,,
Havana - Cancun 8-19 Temmuz 2022,Meksika,HAS_HIGHLIGHT,,
Havana - Cancun 8-19 Temmuz 2022,Vinales,HAS_CITY,,
Havana - Cancun 8-19 Temmuz 2022,Vinales,HAS_HIGHLIGHT,,
Havana - Cancun 8-19 Temmuz 2022,Yaz,HAS_SEASON,,
Havana - Cancun 8-19 Temmuz 2022,İstanbul – Havana uçuşu (TK183),HAS_TRANSPORT,,
Henningsvær,Henningsvær gezisi,HAS_ACTIVITY,,
Henningsvær,Kayaking özel turu,HAS_ACTIVITY,,
Henningsvær,Midnight Sun Safari,HAS_ACTIVITY,,
Henningsvær,Rehberli hiking ve çevre gezisi,HAS_ACTIVITY,,
Henningsvær,Restaurant Nyvågar,HAS_RESTAURANT,,
Henningsvær,Sea Eagle RIB Boat Safari,HAS_ACTIVITY,,
Henningsvær,Svolvær gezisi,HAS_ACTIVITY,,
Henningsvær,Å köyü gezisi,HAS_ACTIVITY,,
Hindistan 2024 Maide Cebi,Delhi,HAS_CITY,,
Hindistan 2024 Maide Cebi,Delhi,HAS_HIGHLIGHT,,
Hindistan 2024 Maide Cebi,Hindistan,HAS_COUNTRY,,
Hindistan 2024 Maide Cebi,Hindistan,HAS_HIGHLIGHT,,
Hindistan 2024 Maide Cebi,Hindistan içi özel araç transferleri,HAS_TRANSPORT,,
Hindistan 2024 Maide Cebi,Jaipur,HAS_CITY,,
Hindistan 2024 Maide Cebi,Jaipur,HAS_HIGHLIGHT,,
Hindistan 2024 Maide Cebi,Jodhpur,HAS_CITY,,
Hindistan 2024 Maide Cebi,Jodhpur,HAS_HIGHLIGHT,,
Hindistan 2024 Maide Cebi,Mumbai,HAS_CITY,,
Hindistan 2024 Maide Cebi,Mumbai,HAS_HIGHLIGHT,,
Hindistan 2024 Maide Cebi,Ranthambore,HAS_CITY,,
Hindistan 2024 Maide Cebi,Ranthambore,HAS_HIGHLIGHT,,
Hindistan 2024 Maide Cebi,Ranthambore jeep safarileri,HAS_TRANSPORT,,
Hindistan 2024 Maide Cebi,Udaipur,HAS_CITY,,
Hindistan 2024 Maide Cebi,Udaipur,HAS_HIGHLIGHT,,
Hindistan Gezisi,Air India AI406,HAS_TRANSPORT,,
Hindistan Gezisi,Delhi,HAS_CITY,,
Hindistan Gezisi,Delhi,HAS_HIGHLIGHT,,
Hindistan Gezisi,Hindistan,HAS_COUNTRY,,
Hindistan Gezisi,Hindistan,HAS_HIGHLIGHT,,
Hindistan Gezisi,Indigo 6E7348,HAS_TRANSPORT,,
Hindistan Gezisi,Jaipur,HAS_CITY,,
Hindistan Gezisi,Jaipur,HAS_HIGHLIGHT,,
Hindistan Gezisi,Kale,HAS_HIGHLIGHT,,
Hindistan Gezisi,Saray,HAS_HIGHLIGHT,,
Hindistan Gezisi,Tapınak,HAS_HIGHLIGHT,,
