id,name,type,date_start,date_end,price_usd,semantic_text
Mozart’ın Evi,Mozart’ın Evi,Activity,,,,
Residenzplatz & DomQuartier,Residenzplatz & DomQuartier,Activity,,,,
Noel Pazarları,Noel Pazarları,Activity,,,,
Hallstatt Gezisi,Hallstatt Gezisi,Activity,,,,
Salzberg Dağı & Tuz Madeni Ziyareti,Salzberg Dağı & Tuz Madeni Ziyareti,Activity,,,,
Atlı Kızak Turu (St Wolfgang),Atlı Kızak Turu (St Wolfgang),Activity,,,,
Salzburg Kalesi,Salzburg Kalesi,Activity,,,,
Adolf Hitler’in Kartal Yuvası,Adolf Hitler’in Kartal Yuvası,Activity,,,,
Salzbergwerk Berchtesgaden,Salzbergwerk Berchtesgaden,Activity,,,,
Grassl Likör Fabrikası,Grassl Likör Fabrikası,Activity,,,,
Cafe Sacher Salzburg,Cafe Sacher Salzburg,Restaurant,,,,
Restaurant Blaue Gans Salzburg Gasthaus,Restaurant Blaue Gans Salzburg Gasthaus,Restaurant,,,,
6d308916-68c7-4d45-87cc-dceaa0b6ada5,BELGRAD TURU 21 – 23 EYLÜL,Trip,2025-09-21,2025-09-23,600,"Belgrad turunda Metropol Palace Hotel ve Square Nine Hotel’de konaklama olacak. Aktiviteler arasında Belgrad Şehir Gezisi, Aziz Sava Kilisesi, Kalemegdan, Nikola Tesla Müzesi, Yugoslavya Tarih Müzesi, Royal Compound, Karlofca & Novi Sad gezileri ve Tuna Nehri Tekne Gezisi bulunuyor. Restoran: Kalemegdan Restaurant."
Belgrad,Belgrad,City,,,,
Karlofca,Karlofca,City,,,,
Novi Sad,Novi Sad,City,,,,
Serbia,Serbia,Country,,,,
Metropol Palace Hotel,Metropol Palace Hotel,Hotel,,,,
Square Nine Hotel,Square Nine Hotel,Hotel,,,,
Belgrad Şehir Gezisi,Belgrad Şehir Gezisi,Activity,,,,
Aziz Sava Kilisesi,Aziz Sava Kilisesi,Activity,,,,
Kalemegdan,Kalemegdan,Activity,,,,
Sokullu Mehmet Paşa Çeşmesi,Sokullu Mehmet Paşa Çeşmesi,Activity,,,,
Damat Ali Paşa Türbesi,Damat Ali Paşa Türbesi,Activity,,,,
Fikirbayır,Fikirbayır,Activity,,,,
Stambol Kapısı,Stambol Kapısı,Activity,,,,
Tuna & Sava Nehirlerinin Birleşim Noktası,Tuna & Sava Nehirlerinin Birleşim Noktası,Activity,,,,
Museum of Yugoslav History,Museum of Yugoslav History,Activity,,,,
Royal Compound,Royal Compound,Activity,,,,
Nikola Tesla Müzesi,Nikola Tesla Müzesi,Activity,,,,
Karlofca Gezisi,Karlofca Gezisi,Activity,,,,
Novi Sad Gezisi,Novi Sad Gezisi,Activity,,,,
Tuna Nehri Tekne Gezisi,Tuna Nehri Tekne Gezisi,Activity,,,,
Kalemegdan Restaurant,Kalemegdan Restaurant,Restaurant,,,,
d434c6c7-9895-4b16-8b59-0c47ec5700cd,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,Trip,,,1000,"İstanbul – Kapadokya – İzmir turunda otel isimleri belgede belirtilmemiş. Aktiviteler arasında İstanbul’da Topkapı Sarayı, Ayasofya, Yerebatan Sarnıcı, Boğaz Turu ve Karaköy; Kapadokya’da balon turu, Soğanlı Vadisi, Keşlik Manastırı, Taşkınpaşa Medresesi, Selime Köyü, Agzikarahan, Ihlara Vadisi, Göreme Açık Hava Müzesi, Uçhisar, Kaymaklı Yeraltı Şehri ve Kızıl Vadi; İzmir’de Efes Antik Kenti, Hadrian Tapınağı, Odeon, Traian Çeşmesi ve Şirince Köyü bulunmaktadır. Restoranlar: Il Cortile Ristorante Pizzeria, Pandeli Restaurant, Belisirma Nehir Kenarı Restoranı, Geleneksel Türk Restoranı (Efes)."
ISTANBUL,ISTANBUL,City,,,,
CAPPADOCIA,CAPPADOCIA,City,,,,
Kuşadası,Kuşadası,City,,,,
Izmir,Izmir,City,,,,
Şirince,Şirince,City,,,,
Efes,Efes,City,,,,
Turchia,Turchia,Country,,,,
Topkapı Sarayı,Topkapı Sarayı,Activity,,,,
Ayasofya,Ayasofya,Activity,,,,
Yerebatan Sarnıcı,Yerebatan Sarnıcı,Activity,,,,
Boğaz Turu,Boğaz Turu,Activity,,,,
Karaköy,Karaköy,Activity,,,,
Balon Turu,Balon Turu,Activity,,,,
Soğanlı Vadisi,Soğanlı Vadisi,Activity,,,,
Keşlik Manastırı,Keşlik Manastırı,Activity,,,,
Taşkınpaşa Medresesi,Taşkınpaşa Medresesi,Activity,,,,
Selime Köyü,Selime Köyü,Activity,,,,
Agzikarahan Kervansarayı,Agzikarahan Kervansarayı,Activity,,,,
Ihlara Vadisi,Ihlara Vadisi,Activity,,,,
Göreme Açık Hava Müzesi,Göreme Açık Hava Müzesi,Activity,,,,
Uçhisar,Uçhisar,Activity,,,,
Kaymaklı Yeraltı Şehri,Kaymaklı Yeraltı Şehri,Activity,,,,
Kızıl Vadi,Kızıl Vadi,Activity,,,,
Efes Antik Kenti,Efes Antik Kenti,Activity,,,,
Hadrian Tapınağı,Hadrian Tapınağı,Activity,,,,
Odeon,Odeon,Activity,,,,
Traian Çeşmesi,Traian Çeşmesi,Activity,,,,
Şirince Köyü,Şirince Köyü,Activity,,,,
Il Cortile Ristorante Pizzeria,Il Cortile Ristorante Pizzeria,Restaurant,,,,
Pandeli Restaurant,Pandeli Restaurant,Restaurant,,,,
Belisirma Nehir Kenarı Restoran,Belisirma Nehir Kenarı Restoran,Restaurant,,,,
Geleneksel Türk Restoranı (Efes),Geleneksel Türk Restoranı (Efes),Restaurant,,,,
1596173c-3d0e-4a6c-960b-ffd2c8cb4f84,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,Trip,2025-08-04,2025-08-08,1000,"Edinburgh & Highlands turunda Fonab Castle Hotel, The Craigellachie Hotel, Nevis Bank Inn ve Seasgair Hotel’de konaklama olacak. Aktiviteler arasında Blair Castle, Ballindalloch Castle & Gardens, Camera Obscura & World of Illusions, Loch Ness, Inverness Kalesi, St. Andrews Katedrali, Inverness Müzesi ve Sanat Galerisi ile Strathisla Distillery yer alıyor. Restoranlar: Nevis Bank Inn and Browns Restaurant, Rocpool Restaurant."
Edimburgo,Edimburgo,City,,,,
Pitlochry,Pitlochry,City,,,,
Fort William,Fort William,City,,,,
Inverness,Inverness,City,,,,
Scotland,Scotland,Country,,,,
Fonab Castle Hotel,Fonab Castle Hotel,Hotel,,,,
The Craigellachie Hotel,The Craigellachie Hotel,Hotel,,,,
Nevis Bank Inn,Nevis Bank Inn,Hotel,,,,
Seasgair Hotel,Seasgair Hotel,Hotel,,,,
Blair Castle,Blair Castle,Activity,,,,
Ballindalloch Castle & Gardens,Ballindalloch Castle & Gardens,Activity,,,,
Camera Obscura & World of Illusions,Camera Obscura & World of Illusions,Activity,,,,
Loch Ness,Loch Ness,Activity,,,,
Inverness Kalesi,Inverness Kalesi,Activity,,,,
St. Andrews Katedrali,St. Andrews Katedrali,Activity,,,,
Inverness Müzesi ve Sanat Galerisi,Inverness Müzesi ve Sanat Galerisi,Activity,,,,
Strathisla Distillery,Strathisla Distillery,Activity,,,,
Nevis Bank Inn and Browns Restaurant,Nevis Bank Inn and Browns Restaurant,Restaurant,,,,
Rocpool Restaurant,Rocpool Restaurant,Restaurant,,,,
0c554203-ad54-41bd-abc1-d61654cf0198,TAYLAND TURU 5 – 18 ŞUBAT,Trip,2025-02-05,2025-02-18,2800,"Tayland turunda The Surin otelinde konaklama olacak. Aktiviteler arasında Bangkok şehir gezisi, Büyük Saray, Wat Phra Kaew, Wat Pho, Wat Ratchabophit, kanallar gezisi, Chatuchak pazarı; Chiang Mai’de Wat Phra That Doi Suthep, Wat Chedi Luangis, Wat Suan Dok, Bo Sang köyü; Chiang Rai’de Wat Rong Khun, Altın Üçgen gezisi, Mekong tekne gezisi bulunuyor. Restoranlar: Beach Restaurant (The Surin), Potong, Clara, Kalido, Carpe Diem Beach Club, Terrace Rim Naam."
Chiang Mai,Chiang Mai,City,,,,
Chiang Rai,Chiang Rai,City,,,,
The Surin,The Surin,Hotel,,,,
Tapınaklar ve Şehir Gezisi,Tapınaklar ve Şehir Gezisi,Activity,,,,
Bo Sang Köyü,Bo Sang Köyü,Activity,,,,
Wat Chedi Luangis,Wat Chedi Luangis,Activity,,,,
Wat Suan Dok Tapınağı,Wat Suan Dok Tapınağı,Activity,,,,
Wat Phra That Doi Suthep,Wat Phra That Doi Suthep,Activity,,,,
Wat Rong Khun,Wat Rong Khun,Activity,,,,
Chiang Rai Gezisi,Chiang Rai Gezisi,Activity,,,,
Golden Triangle Gezisi,Golden Triangle Gezisi,Activity,,,,
Mekong Nehri Tekne Gezisi,Mekong Nehri Tekne Gezisi,Activity,,,,
Bangkok Şehir Gezisi,Bangkok Şehir Gezisi,Activity,,,,
Büyük Saray,Büyük Saray,Activity,,,,
Wat Phra Kaew,Wat Phra Kaew,Activity,,,,
Wat Pho Tapınağı,Wat Pho Tapınağı,Activity,,,,
Wat Ratchabophit,Wat Ratchabophit,Activity,,,,
Bangkok Kanalları Gezisi,Bangkok Kanalları Gezisi,Activity,,,,
Chatuchak Weekend Market,Chatuchak Weekend Market,Activity,,,,
Beach Restaurant (The Surin),Beach Restaurant (The Surin),Restaurant,,,,
Potong Restaurant,Potong Restaurant,Restaurant,,,,
Clara Restaurant,Clara Restaurant,Restaurant,,,,
Kalido,Kalido,Restaurant,,,,
Carpe Diem Beach Club,Carpe Diem Beach Club,Restaurant,,,,
Terrace Rim Naam,Terrace Rim Naam,Restaurant,,,,
d7634b5a-6241-4ec6-a8c9-186604950ae3,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE),Trip,2024-04-06,2024-04-13,1600,"Japonya turunda Mitsui Garden Hotel ve Benesse House’da konaklama olacak. Aktiviteler arasında Tokyo’da Shinjuku Gyoen, Senso-ji, Meiji Shrine, Takeshita Street, Omotesando, TeamLab Planets ve Ginza; Hakone’de Açık Hava Müzesi, Picasso Pavilion, teleferik, Owakudani Vadisi ve Ashinoko Gölü tekne turu; Kyoto’da Kiyomizu Tapınağı, Kinkaku-ji ve Geisha & Maiko gösterisi; Nara’da Nara Park ve Kasuga Taisha; ayrıca Naoshima & Teshima’da Benesse House, Chichu, Lee Ufan ve Teshima Sanat Müzeleri ile Teshima Yokoo Evi bulunuyor."
Hakone,Hakone,City,,,,
Nara,Nara,City,,,,
Mitsui Garden Hotel,Mitsui Garden Hotel,Hotel,,,,
Shinjuku Gyoen Park,Shinjuku Gyoen Park,Activity,,,,
Senso-ji Tapınağı,Senso-ji Tapınağı,Activity,,,,
Nakamise Alışveriş Caddesi,Nakamise Alışveriş Caddesi,Activity,,,,
Meiji Shrine,Meiji Shrine,Activity,,,,
Takeshita Street,Takeshita Street,Activity,,,,
Omotesando,Omotesando,Activity,,,,
TeamLab Planets,TeamLab Planets,Activity,,,,
Ginza,Ginza,Activity,,,,
Hakone Açık Hava Müzesi,Hakone Açık Hava Müzesi,Activity,,,,
Picasso Pavilion,Picasso Pavilion,Activity,,,,
Hakone Teleferiği,Hakone Teleferiği,Activity,,,,
Owakudani Vadisi,Owakudani Vadisi,Activity,,,,
Ashinoko Tekne Gezisi,Ashinoko Tekne Gezisi,Activity,,,,
Kiyomizu Tapınağı,Kiyomizu Tapınağı,Activity,,,,
Kinkaku-ji,Kinkaku-ji,Activity,,,,
Geisha & Maiko Gösterisi,Geisha & Maiko Gösterisi,Activity,,,,
Nara Park,Nara Park,Activity,,,,
Kasuga Taisha,Kasuga Taisha,Activity,,,,
Tenryu-ji Tapınağı,Tenryu-ji Tapınağı,Activity,,,,
Monkey Park Iwatayama,Monkey Park Iwatayama,Activity,,,,
Teshima Yokoo Evi,Teshima Yokoo Evi,Activity,,,,
fcc27888-f4c5-43f6-91e7-5f8a3b32da88,ARLES TURU 03 – 06 EKİM,Trip,2025-10-03,2025-10-06,800,"Arles turunda otel ismi belgede belirtilmemiş. Aktiviteler arasında LUMA ve Van Gogh müzeleri, Art Tour, Avignon gezisi, Chateau Estoublon, Les Baux-de-Provence ve L'Isle-sur-la-Sorgue ziyaretleri bulunuyor. Restoranlar: L'Oriel, Café Tadoa Ando, La Taula Gallici's Gourmet Restaurant."
Arles,Arles,City,,,,
Avignon,Avignon,City,,,,
Les Baux-de-Provence,Les Baux-de-Provence,City,,,,
L'Isle-sur-la-Sorgue,L'Isle-sur-la-Sorgue,City,,,,
LUMA Müzesi,LUMA Müzesi,Activity,,,,
Van Gogh Müzesi,Van Gogh Müzesi,Activity,,,,
Art Tour,Art Tour,Activity,,,,
Avignon Gezisi,Avignon Gezisi,Activity,,,,
Chateau Estoublon,Chateau Estoublon,Activity,,,,
Les Baux-de-Provence Gezisi,Les Baux-de-Provence Gezisi,Activity,,,,
L'Isle-sur-la-Sorgue Gezisi,L'Isle-sur-la-Sorgue Gezisi,Activity,,,,
Restaurant L'Oriel,Restaurant L'Oriel,Restaurant,,,,
Café Tadoa Ando,Café Tadoa Ando,Restaurant,,,,
La Taula Gallici's Gourmet Restaurant,La Taula Gallici's Gourmet Restaurant,Restaurant,,,,
158bd676-46c5-48e8-ba07-f35b0e9e6349,PUGLIA TURU 07 – 11 EKİM,Trip,2025-10-07,2025-10-11,1000,"Puglia turunda Canne Bianche Lifestyle & Hotel’de konaklama olacak. Aktiviteler arasında Alberobello Trulli evleri, Matera, Monopoli, Polignano a Mare, Lecce ve Bari şehir gezileri ile Santa Croce Bazilikası, San Giuseppe Kilisesi, Palazzo dei Celestini, Sant'Oronzo Meydanı, Antik Roma Amfitiyatrosu, Saint Nicholas Bazilikası, San Sabino Katedrali, Hohenstaufen Kalesi ve Strada delle Orecchiette bulunuyor."
Bari,Bari,City,,,,
Alberobello,Alberobello,City,,,,
Matera,Matera,City,,,,
Monopoli,Monopoli,City,,,,
Polignano a Mare,Polignano a Mare,City,,,,
Lecce,Lecce,City,,,,
Canne Bianche Lifestyle & Hotel,Canne Bianche Lifestyle & Hotel,Hotel,,,,
Alberobello Trulli Evleri,Alberobello Trulli Evleri,Activity,,,,
Matera Gezisi,Matera Gezisi,Activity,,,,
Monopoli Gezisi,Monopoli Gezisi,Activity,,,,
Polignano a Mare Gezisi,Polignano a Mare Gezisi,Activity,,,,
Lecce Şehir Gezisi,Lecce Şehir Gezisi,Activity,,,,
Santa Croce Bazilikası,Santa Croce Bazilikası,Activity,,,,
San Giuseppe Kilisesi,San Giuseppe Kilisesi,Activity,,,,
Palazzo dei Celestini,Palazzo dei Celestini,Activity,,,,
Sant'Oronzo Meydanı,Sant'Oronzo Meydanı,Activity,,,,
Antik Roma Amfitiyatrosu,Antik Roma Amfitiyatrosu,Activity,,,,
Bari Şehir Gezisi,Bari Şehir Gezisi,Activity,,,,
Saint Nicholas Bazilikası,Saint Nicholas Bazilikası,Activity,,,,
San Sabino Katedrali,San Sabino Katedrali,Activity,,,,
Hohenstaufen Kalesi,Hohenstaufen Kalesi,Activity,,,,
Old Town,Old Town,Activity,,,,
Strada delle Orecchiette,Strada delle Orecchiette,Activity,,,,
66ae3c07-2b81-46ad-a5af-18eef3c47a3c,PROVENCE TURU 4 – 7 MAYIS,Trip,2025-05-04,2025-05-07,800,"Provence turunda otel ismi belgede belirtilmemiş. Aktiviteler arasında Chateau La Coste Art Tour, L’Isle-sur-la-Sorgue, Roussillon, Gordes, Saint-Rémy-de-Provence, Les Baux-de-Provence ve Arles gezileri bulunuyor. Restoranlar: Tadao Ando Café Restaurant, Chateau d’Estoublon."
Provence,Provence,City,,,,
L’Isle-sur-la-Sorgue,L’Isle-sur-la-Sorgue,City,,,,
Rossiglione (regione),Rossiglione (regione),City,,,,
Gordes,Gordes,City,,,,
Saint-Rémy-de-Provence,Saint-Rémy-de-Provence,City,,,,
Chateau La Coste Art Tour,Chateau La Coste Art Tour,Activity,,,,
L’Isle-sur-la-Sorgue Gezisi,L’Isle-sur-la-Sorgue Gezisi,Activity,,,,
Roussillon Gezisi,Roussillon Gezisi,Activity,,,,
Gordes Gezisi,Gordes Gezisi,Activity,,,,
Saint-Rémy-de-Provence Gezisi,Saint-Rémy-de-Provence Gezisi,Activity,,,,
Arles Gezisi,Arles Gezisi,Activity,,,,
Tadao Ando Café Restaurant,Tadao Ando Café Restaurant,Restaurant,,,,
Chateau d’Estoublon,Chateau d’Estoublon,Restaurant,,,,
d30e7522-2784-4354-bd95-fcc96b285c73,59. Venedik Bienali,Trip,,,1000,"Venedik Bienali gezisi, 23-25 Eylül 2022, İtalya Venedik. Ziyaret edilen mekanlar: Peggy Guggenheim Müzesi, Anish Kapoor sergileri, Giardini Bienali, Trattoria Alla Madonna. Ulaşım: Türk Hava Yolları TK1867."
Peggy Guggenheim Müzesi,Peggy Guggenheim Müzesi,Activity,,,,
Galleria dell’Accademia,Galleria dell’Accademia,Activity,,,,
Palazzo Manfrin,Palazzo Manfrin,Activity,,,,
Giardini Bienali,Giardini Bienali,Activity,,,,
Trattoria Alla Madonna,Trattoria Alla Madonna,Restaurant,,,,
Türk Hava Yolları TK1867,Türk Hava Yolları TK1867,Transport,,,,
Bienal,Bienal,Tag,,,,
Sanat,Sanat,Tag,,,,
29fdd870-3ad0-4d8d-8916-6fc5b50d8222,Dubai Programı,Trip,,,1000,"26-30 Nisan 2025 Dubai gezisi. Konaklama Atlantis The Royal otelinde. Ziyaret edilen yerler: Dubai Creek – Old Town, Museum of the Future, Dubai Mall. Akşam yemeği Nobu Restaurant - Atlantis the Palm’da. Ulaşım: Emirates EK124 uçuşu."
Dubai,Dubai,City,,,,
Birleşik Arap Emirlikleri,Birleşik Arap Emirlikleri,Country,,,,
Atlantis The Royal,Atlantis The Royal,Hotel,,,,
Dubai Creek – Old Town,Dubai Creek – Old Town,Activity,,,,
Museum of the Future,Museum of the Future,Activity,,,,
Dubai Mall,Dubai Mall,Activity,,,,
Nobu Restaurant - Atlantis the Palm,Nobu Restaurant - Atlantis the Palm,Restaurant,,,,
Emirates EK124,Emirates EK124,Transport,,,,
BAE,BAE,Tag,,,,
Müze,Müze,Tag,,,,
Alışveriş,Alışveriş,Tag,,,,
Modern Mimari,Modern Mimari,Tag,,,,
0f969f15-b09d-495a-8979-3b77bc3a1980,İzmir’in En Güzel Köyleri - Şirince & Urla,Trip,,,1000,"26-30 Mart 2022 İzmir’in en güzel köyleri gezisi: Şirince ve Urla. Konaklama Güllü Konak’ta. Öne çıkan mekanlar: Şirince Çarşısı, Aziz John Baptist Kilisesi, Hodri Meydan Kulesi, Şarap Mahzenleri, Nesin Matematik Köyü, Key Museum, Urla Sanat Sokağı, Necati Cumali Anı Evi, Yorgo Seferis’in doğduğu ev, Tanju Okan Parkı, Malgaca Pazarı. Restoranlar: Artemis Restaurant ve Şarapevi, Yengeç Restoran - Urla İskele."
Urla,Urla,City,,,,
Güllü Konak,Güllü Konak,Hotel,,,,
Şirince Çarşısı,Şirince Çarşısı,Activity,,,,
Aziz John Baptist Kilisesi,Aziz John Baptist Kilisesi,Activity,,,,
Hodri Meydan Kulesi,Hodri Meydan Kulesi,Activity,,,,
Şarap Mahzenleri,Şarap Mahzenleri,Activity,,,,
Nesin Matematik Köyü,Nesin Matematik Köyü,Activity,,,,
Key Museum,Key Museum,Activity,,,,
Urla Sanat Sokağı,Urla Sanat Sokağı,Activity,,,,
Necati Cumali Anı Evi,Necati Cumali Anı Evi,Activity,,,,
Yorgo Seferis’in doğduğu ev,Yorgo Seferis’in doğduğu ev,Activity,,,,
Tanju Okan Parkı,Tanju Okan Parkı,Activity,,,,
Malgaca Pazarı,Malgaca Pazarı,Activity,,,,
Artemis Restaurant ve Şarapevi,Artemis Restaurant ve Şarapevi,Restaurant,,,,
Yengeç Restoran - Urla İskele,Yengeç Restoran - Urla İskele,Restaurant,,,,
Köy Gezisi,Köy Gezisi,Tag,,,,
Şarap,Şarap,Tag,,,,
817ee8d6-bf9e-4dd7-b24c-9ccc09e64ef5,Toskana Gezisi,Trip,,,1000,"27 Mart - 2 Nisan 2025 Toskana gezisi. Şehirler: Bologna, Floransa, Chianti, San Gimignano, Siena, Cortona, Orvieto, Roma. Konaklama Hotel Cerretani Firenze – Mgallery. Aktiviteler: Santa Maria del Fiore Katedrali, Vaftizhane, Piazza della Signoria, Palazzo Vecchio, Uffizi Galerisi, Antinori nel Chianti Classico Şaraphanesi, San Gimignano UNESCO Dünya Mirası, Siena şehir merkezi, Cortona tarihi sokaklar, Orvieto Katedrali ve yer altı tünelleri. Restoranlar: Buca Mario, Osteria delle Tre Panche, Ristorante Storico Sabatini, Buca Lapi, Antico Ristorante Paoli 1827. Ulaşım: THY TK1323 (İstanbul - Bologna), THY TK1864 (Roma - İstanbul)."
Bologna,Bologna,City,,,,
Firenze,Firenze,City,,,,
Chianti,Chianti,City,,,,
San Gimignano,San Gimignano,City,,,,
Siena,Siena,City,,,,
Cortona,Cortona,City,,,,
Orvieto,Orvieto,City,,,,
ROME,ROME,City,,,,
Hotel Cerretani Firenze – Mgallery,Hotel Cerretani Firenze – Mgallery,Hotel,,,,
Santa Maria del Fiore Katedrali,Santa Maria del Fiore Katedrali,Activity,,,,
Vaftizhane (Battistero di San Giovanni),Vaftizhane (Battistero di San Giovanni),Activity,,,,
Piazza della Signoria,Piazza della Signoria,Activity,,,,
Palazzo Vecchio,Palazzo Vecchio,Activity,,,,
Uffizi Galerisi,Uffizi Galerisi,Activity,,,,
Antinori nel Chianti Classico Şaraphanesi,Antinori nel Chianti Classico Şaraphanesi,Activity,,,,
San Gimignano UNESCO Dünya Mirası,San Gimignano UNESCO Dünya Mirası,Activity,,,,
Siena Şehir Merkezi,Siena Şehir Merkezi,Activity,,,,
Cortona Tarihi Sokaklar,Cortona Tarihi Sokaklar,Activity,,,,
Orvieto Katedrali,Orvieto Katedrali,Activity,,,,
Orvieto Yer Altı Tünelleri,Orvieto Yer Altı Tünelleri,Activity,,,,
Buca Mario,Buca Mario,Restaurant,,,,
Osteria delle Tre Panche,Osteria delle Tre Panche,Restaurant,,,,
Ristorante Storico Sabatini,Ristorante Storico Sabatini,Restaurant,,,,
Buca Lapi,Buca Lapi,Restaurant,,,,
Antico Ristorante Paoli 1827,Antico Ristorante Paoli 1827,Restaurant,,,,
Türk Hava Yolları TK1323,Türk Hava Yolları TK1323,Transport,,,,
Türk Hava Yolları TK1864,Türk Hava Yolları TK1864,Transport,,,,
Toscana,Toscana,Tag,,,,
Katedral,Katedral,Tag,,,,
668770f4-5621-477b-9bf4-083266b2faad,Avustralya – Yeni Zelanda,Trip,,,1000,"27 Mart - 7 Nisan 2025 Avustralya & Yeni Zelanda gezisi. Şehirler: Sydney, Auckland, Rotorua, Queenstown, Melbourne. Konaklama Park Hyatt Sydney otelinde. Sydney’de ziyaret edilen yerler: The Rocks, Botanik Bahçeleri, Macquarie Caddesi, Hyde Park, St. Mary Katedrali, Mrs Macquarie’s Chair, Opera Binası, Sydney Köprüsü, Bondi Plajı, Oxford Caddesi, Paddington. Ulaşım: THY TK174."
Melbourne,Melbourne,City,,,,
Park Hyatt Sydney,Park Hyatt Sydney,Hotel,,,,
The Rocks,The Rocks,Activity,,,,
Botanik Bahçeleri - Sydney,Botanik Bahçeleri - Sydney,Activity,,,,
Macquarie Caddesi,Macquarie Caddesi,Activity,,,,
Hyde Park,Hyde Park,Activity,,,,
St. Mary Katedrali,St. Mary Katedrali,Activity,,,,
Mrs Macquarie’s Chair,Mrs Macquarie’s Chair,Activity,,,,
Sydney Opera Binası,Sydney Opera Binası,Activity,,,,
Sydney Köprüsü,Sydney Köprüsü,Activity,,,,
Bondi Plajı,Bondi Plajı,Activity,,,,
Oxford Caddesi,Oxford Caddesi,Activity,,,,
Paddington,Paddington,Activity,,,,
Türk Hava Yolları TK174,Türk Hava Yolları TK174,Transport,,,,
Opera Binası,Opera Binası,Tag,,,,
Plaj,Plaj,Tag,,,,
5f97595e-4270-4260-804d-d070472272ef,Hindistan Gezisi,Trip,,,1000,"27 Şubat - 7 Mart 2024 Hindistan gezisi. Şehirler: Varanasi, Jaipur, Udaipur, Delhi. Konaklama Brijrama Palace, Rambagh Palace ve Taj Lake Palace otellerinde. Aktiviteler: Ganj Nehri Aarti Töreni, Kashi Vishwanath Tapınağı, Sarnath, Amber Fort, City Palace, Hawa Mahal, Jantar Mantar, Crystal Gallery, Pichola Gölü, Muson Sarayı, Humayun’un Mezarı, Cumhurbaşkanlığı Sarayı, Hindistan Kapısı, Jama Mescidi, Chandni Chowk, Laxmi Narayan Tapınağı. Restoranlar: Udayan Terrace, Neelkamal Restaurant, Spice Route, Bukhara, Jaipur City Palace özel akşam yemeği, Mewar Terrace. Ulaşım: THY TK716, Air India AI406, Indigo 6E7348."
Bénarès,Bénarès,City,,,,
Jaipur,Jaipur,City,,,,
Udaipur,Udaipur,City,,,,
Delhi,Delhi,City,,,,
Hindistan,Hindistan,Country,,,,
Brijrama Palace,Brijrama Palace,Hotel,,,,
Rambagh Palace,Rambagh Palace,Hotel,,,,
Taj Lake Palace,Taj Lake Palace,Hotel,,,,
Ganj Nehri Aarti Töreni,Ganj Nehri Aarti Töreni,Activity,,,,
Kashi Vishwanath Tapınağı,Kashi Vishwanath Tapınağı,Activity,,,,
Sarnath,Sarnath,Activity,,,,
Amber Fort,Amber Fort,Activity,,,,
City Palace - Jaipur,City Palace - Jaipur,Activity,,,,
Hawa Mahal,Hawa Mahal,Activity,,,,
Jantar Mantar,Jantar Mantar,Activity,,,,
City Palace - Udaipur,City Palace - Udaipur,Activity,,,,
Crystal Gallery,Crystal Gallery,Activity,,,,
Pichola Gölü,Pichola Gölü,Activity,,,,
Muson Sarayı,Muson Sarayı,Activity,,,,
Humayun’un Mezarı,Humayun’un Mezarı,Activity,,,,
Cumhurbaşkanlığı Sarayı,Cumhurbaşkanlığı Sarayı,Activity,,,,
Hindistan Kapısı,Hindistan Kapısı,Activity,,,,
Jama Mescidi,Jama Mescidi,Activity,,,,
Chandni Chowk,Chandni Chowk,Activity,,,,
Laxmi Narayan Tapınağı,Laxmi Narayan Tapınağı,Activity,,,,
Udayan Terrace,Udayan Terrace,Restaurant,,,,
Neelkamal Restaurant,Neelkamal Restaurant,Restaurant,,,,
Spice Route,Spice Route,Restaurant,,,,
Bukhara - ITC Maurya Hotel,Bukhara - ITC Maurya Hotel,Restaurant,,,,
City Palace Özel Akşam Yemeği,City Palace Özel Akşam Yemeği,Restaurant,,,,
Mewar Terrace,Mewar Terrace,Restaurant,,,,
Türk Hava Yolları TK716,Türk Hava Yolları TK716,Transport,,,,
Air India AI406,Air India AI406,Transport,,,,
Indigo 6E7348,Indigo 6E7348,Transport,,,,
Tapınak,Tapınak,Tag,,,,
Saray,Saray,Tag,,,,
Kale,Kale,Tag,,,,
7afc4130-2a5d-4522-a66f-b230351a9c78,Meksika Gezisi,Trip,,,1000,"28 Mart - 3 Nisan 2025 Meksika gezisi. Şehirler: Mexico City, Mérida, Chichen Itza, Cancún. Konaklama The St. Regis Mexico City otelinde. Aktiviteler: Centro Histórico, Zócalo, Templo Mayor, Palacio de Bellas Artes, Plaza Manuel Tolsá, Antropoloji Müzesi, Coyoacán & Frida Kahlo Müzesi, Polanco, Chichen Itza ve Kukulkan Piramidi, Mérida Plaza Grande, San Ildefonso Katedrali, Parque & Iglesia de Santa Lucía, Tekila & Mezcal Tadımı. Restoranlar: Göl kenarında özel yemek, Woodend Restaurant, Ixi’im, Ki’ol. Ulaşım: THY TK2341, TK2175, TK184, Aeroméxico AM826D, THY TK181."
Città del Messico,Città del Messico,City,,,,
Mérida,Mérida,City,,,,
Chichen Itza,Chichen Itza,City,,,,
Cancún,Cancún,City,,,,
Meksika,Meksika,Country,,,,
The St. Regis Mexico City,The St. Regis Mexico City,Hotel,,,,
